Wetland,Vegetation,Collection Date,Depth (m),Percent FullBy DepthReading,2d Area(Surface Area m2),Percentof Total2d Area,3d Area(Basin Surface Area m2),Percentof Total3d Area,Volume (m3),Percentof TotalVolume
W11,Swamp,10/11/22,0,0,0,0,0,0,0,0
W15,Marsh,10/11/22,0,0,0,0,0,0,0,0
W21,Marsh,10/11/22,0,0,0,0,0,0,0,0
W32,Swamp,10/11/22,0,0,0,0,0,0,0,0
W37,Marsh,10/11/22,0,0,0,0,0,0,0,0
W42,Marsh,10/11/22,0.27,17.3077,1534.7151,5.9369,1534.9816,5.9338,100.1706,0.5498
W46,Marsh,10/11/22,0,0,0,0,0,0,0,0
W52,Swamp,10/11/22,0.21,24.1379,18742.6348,26.9699,18744.0456,26.9693,3120.0916,9.8227
W53,Marsh,10/11/22,0,0,0,0,0,0,0,0
W58,Swamp,10/11/22,0.1,6.993,2466.1244,3.0149,2466.4355,3.0146,240.5791,0.4024
W68,Swamp,10/11/22,0,0,0,0,0,0,0,0
W11,Swamp,10/25/22,0,0,0,0,0,0,0,0
W15,Marsh,10/25/22,0,0,0,0,0,0,0,0
W21,Marsh,10/25/22,0,0,0,0,0,0,0,0
W32,Swamp,10/25/22,0,0,0,0,0,0,0,0
W37,Marsh,10/25/22,0,0,0,0,0,0,0,0
W42,Marsh,10/25/22,0.24,15.3846,813.6842,3.1477,813.8889,3.1462,65.9272,0.3618
W46,Marsh,10/25/22,0,0,0,0,0,0,0,0
W52,Swamp,10/25/22,0.16,18.3908,15914.9756,22.901,15916.0375,22.9003,2254.0304,7.0961
W53,Marsh,10/25/22,0,0,0,0,0,0,0,0
W58,Swamp,10/25/22,0,0,0,0,0,0,0,0
W68,Swamp,10/25/22,0,0,0,0,0,0,0,0
W11,Swamp,11/8/22,0,0,0,0,0,0,0,0
W15,Marsh,11/8/22,0,0,0,0,0,0,0,0
W21,Marsh,11/8/22,0,0,0,0,0,0,0,0
W32,Swamp,11/8/22,0,0,0,0,0,0,0,0
W37,Marsh,11/8/22,0,0,0,0,0,0,0,0
W42,Marsh,11/8/22,0.14,8.9744,292.5996,1.1319,292.6726,1.1314,18.6977,0.1026
W46,Marsh,11/8/22,0,0,0,0,0,0,0,0
W52,Swamp,11/8/22,0.08,9.1954,9656.2936,13.895,9656.9256,13.8946,1219.9302,3.8406
W53,Marsh,11/8/22,0,0,0,0,0,0,0,0
W58,Swamp,11/8/22,0,0,0,0,0,0,0,0
W68,Swamp,11/8/22,0,0,0,0,0,0,0,0
W11,Swamp,11/22/22,0,0,0,0,0,0,0,0
W15,Marsh,11/22/22,0,0,0,0,0,0,0,0
W21,Marsh,11/22/22,0,0,0,0,0,0,0,0
W32,Swamp,11/22/22,0,0,0,0,0,0,0,0
W37,Marsh,11/22/22,0,0,0,0,0,0,0,0
W42,Marsh,11/22/22,0.28,17.9487,1862.175,7.2036,1862.4646,7.1997,117.1197,0.6428
W46,Marsh,11/22/22,0,0,0,0,0,0,0,0
W52,Swamp,11/22/22,0.22,25.2874,19322.3716,27.8041,19323.8544,27.8036,3310.4112,10.4218
W53,Marsh,11/22/22,0,0,0,0,0,0,0,0
W58,Swamp,11/22/22,0,0,0,0,0,0,0,0
W68,Swamp,11/22/22,0,0,0,0,0,0,0,0
W11,Swamp,12/5/22,0,0,0,0,0,0,0,0
W15,Marsh,12/5/22,0,0,0,0,0,0,0,0
W21,Marsh,12/5/22,0,0,0,0,0,0,0,0
W32,Swamp,12/5/22,0,0,0,0,0,0,0,0
W37,Marsh,12/5/22,0,0,0,0,0,0,0,0
W42,Marsh,12/5/22,0.3,19.2308,2548.5014,9.8586,2548.8389,9.853,161.2386,0.8849
W46,Marsh,12/5/22,0,0,0,0,0,0,0,0
W52,Swamp,12/5/22,0.29,33.3333,23457.6656,33.7546,23459.6712,33.7543,4808.2868,15.1375
W53,Marsh,12/5/22,0,0,0,0,0,0,0,0
W58,Swamp,12/5/22,0,0,0,0,0,0,0,0
W68,Swamp,12/5/22,0,0,0,0,0,0,0,0
W11,Swamp,12/19/22,0,0,0,0,0,0,0,0
W15,Marsh,12/19/22,0,0,0,0,0,0,0,0
W21,Marsh,12/19/22,0,0,0,0,0,0,0,0
W32,Swamp,12/19/22,0,0,0,0,0,0,0,0
W37,Marsh,12/19/22,0,0,0,0,0,0,0,0
W42,Marsh,12/19/22,0.3,19.2308,2548.5014,9.8586,2548.8389,9.853,161.2386,0.8849
W46,Marsh,12/19/22,0,0,0,0,0,0,0,0
W52,Swamp,12/19/22,0.35,40.2299,27374.4772,39.3907,27376.9515,39.3905,6328.5477,19.9236
W53,Marsh,12/19/22,0,0,0,0,0,0,0,0
W58,Swamp,12/19/22,0,0,0,0,0,0,0,0
W68,Swamp,12/19/22,0,0,0,0,0,0,0,0
W11,Swamp,1/4/23,0,0,0,0,0,0,0,0
W15,Marsh,1/4/23,0,0,0,0,0,0,0,0
W21,Marsh,1/4/23,0,0,0,0,0,0,0,0
W32,Swamp,1/4/23,0,0,0,0,0,0,0,0
W37,Marsh,1/4/23,0,0,0,0,0,0,0,0
W42,Marsh,1/4/23,0.28,17.9487,1862.175,7.2036,1862.4646,7.1997,117.1197,0.6428
W46,Marsh,1/4/23,0,0,0,0,0,0,0,0
W52,Swamp,1/4/23,0.41,47.1264,33521.7701,48.2364,33524.6858,48.236,8174.1826,25.734
W53,Marsh,1/4/23,0,0,0,0,0,0,0,0
W58,Swamp,1/4/23,0,0,0,0,0,0,0,0
W68,Swamp,1/4/23,0,0,0,0,0,0,0,0
W11,Swamp,1/18/23,0,0,0,0,0,0,0,0
W15,Marsh,1/18/23,0,0,0,0,0,0,0,0
W21,Marsh,1/18/23,0,0,0,0,0,0,0,0
W32,Swamp,1/18/23,0,0,0,0,0,0,0,0
W37,Marsh,1/18/23,0,0,0,0,0,0,0,0
W42,Marsh,1/18/23,0.31,19.8718,2888.9375,11.1756,2889.2994,11.1692,188.4273,1.0341
W46,Marsh,1/18/23,0.29,17.2619,375.5265,0.3314,376.2317,0.332,39.6282,0.048
W52,Swamp,1/18/23,0.48,55.1724,37893.7271,54.5275,37897.1585,54.5272,10676.4179,33.6115
W53,Marsh,1/18/23,0.28,29.4737,2007.1865,4.2289,2007.3396,4.2286,185.3487,1.0173
W58,Swamp,1/18/23,0.27,18.8811,4988.7262,6.0989,4989.6283,6.0987,879.6659,1.4713
W68,Swamp,1/18/23,0.14,12.963,7262.871,5.2157,7268.6886,5.2192,821.4876,1.09
W11,Swamp,1/31/23,0.41,35.3448,29649.6719,38.9464,29659.7606,38.945,7044.288,14.5319
W15,Marsh,1/31/23,0,0,0,0,0,0,0,0
W21,Marsh,1/31/23,0.39,15.8537,1149.4373,1.3569,1149.8288,1.357,166.9669,0.2014
W32,Swamp,1/31/23,0.32,52.459,4146.0751,10.6207,4147.6106,10.6238,577.1888,8.5075
W37,Marsh,1/31/23,0.13,12.381,2912.5957,25.8814,2913.0501,25.8707,394.025,5.9264
W42,Marsh,1/31/23,0.42,26.9231,4761.1328,18.418,4762.2499,18.4094,621.5419,3.4112
W46,Marsh,1/31/23,0.69,41.0714,22771.8571,20.098,22774.6771,20.0973,1026.9206,1.245
W52,Swamp,1/31/23,0.61,70.1149,48267.4143,69.4548,48271.8559,69.4545,16206.9216,51.0227
W53,Marsh,1/31/23,0.38,40,3587.3173,7.5581,3587.6039,7.5575,459.8596,2.5239
W58,Swamp,1/31/23,0.45,31.4685,15483.1983,18.9288,15485.1368,18.927,2269.6461,3.7962
W68,Swamp,1/31/23,0.4,37.037,47695.0493,34.2516,47702.6531,34.2524,6172.9761,8.191
W11,Swamp,2/16/23,0.57,49.1379,43538.9149,57.1906,43553.0674,57.1878,13128.1831,27.0825
W15,Marsh,2/16/23,0,0,0,0,0,0,0,0
W21,Marsh,2/16/23,0.48,19.5122,1587.9268,1.8745,1588.5003,1.8748,289.2446,0.3489
W32,Swamp,2/16/23,0.46,75.4098,21245.0699,54.4221,21247.3339,54.4235,2274.8675,33.5307
W37,Marsh,2/16/23,0.12,11.4286,2845.1655,25.2822,2845.582,25.2715,365.2369,5.4934
W42,Marsh,2/16/23,0.43,27.5641,4927.2575,19.0606,4928.4497,19.0519,669.9806,3.677
W46,Marsh,2/16/23,0.78,46.4286,45523.9619,40.1786,45527.2897,40.1751,4186.3704,5.0756
W52,Swamp,2/16/23,0.67,77.0115,54782.7409,78.8301,54787.6442,78.8296,19329.0771,60.8519
W53,Marsh,2/16/23,0.42,44.2105,4724.858,9.9547,4725.2034,9.9539,623.4548,3.4218
W58,Swamp,2/16/23,0.57,39.8601,31998.8016,39.1198,32002.0476,39.1151,5088.166,8.5105
W68,Swamp,2/16/23,0.55,50.9259,76244.4189,54.754,76253.8217,54.7533,15523.0531,20.5978
W11,Swamp,2/28/23,0.54,46.5517,41526.132,54.5467,41539.5206,54.5438,11851.3087,24.4484
W15,Marsh,2/28/23,0,0,0,0,0,0,0,0
W21,Marsh,2/28/23,0.4,16.2602,1193.6874,1.4091,1194.0985,1.4093,178.6818,0.2155
W32,Swamp,2/28/23,0.41,67.2131,15212.4519,38.9687,15214.4258,38.9707,1366.4648,20.1412
W37,Marsh,2/28/23,0,0,0,0,0,0,0,0
W42,Marsh,2/28/23,0.38,24.359,4135.927,15.9994,4136.7543,15.9914,443.8103,2.4358
W46,Marsh,2/28/23,0.69,41.0714,22771.8571,20.098,22774.6771,20.0973,1026.9206,1.245
W52,Swamp,2/28/23,0.69,79.3103,56313.6435,81.033,56318.7057,81.0325,20440.0851,64.3495
W53,Marsh,2/28/23,0.36,37.8947,3220.9004,6.7861,3221.1577,6.7855,391.8201,2.1505
W58,Swamp,2/28/23,0.52,36.3636,24716.7964,30.2172,24719.4522,30.2138,3667.6902,6.1346
W68,Swamp,2/28/23,0.54,50,74450.8045,53.4659,74460.0792,53.4653,14769.5861,19.598
W11,Swamp,3/14/23,0.56,48.2759,42910.2861,56.3649,42924.1845,56.362,12695.9017,26.1908
W15,Marsh,3/14/23,0,0,0,0,0,0,0,0
W21,Marsh,3/14/23,0.31,12.6016,822.3518,0.9708,822.6003,0.9708,88.4046,0.1066
W32,Swamp,3/14/23,0.39,63.9344,12435.8867,31.8562,12437.7485,31.8584,1089.2993,16.0559
W37,Marsh,3/14/23,0,0,0,0,0,0,0,0
W42,Marsh,3/14/23,0.35,22.4359,3708.2152,14.3449,3708.8365,14.3372,326.2363,1.7905
W46,Marsh,3/14/23,0.64,38.0952,4304.7685,3.7993,4307.327,3.801,485.8274,0.589
W52,Swamp,3/14/23,0.69,79.3103,56313.6435,81.033,56318.7057,81.0325,20440.0851,64.3495
W53,Marsh,3/14/23,0.28,29.4737,2007.1865,4.2289,2007.3396,4.2286,185.3487,1.0173
W58,Swamp,3/14/23,0.51,35.6643,23221.247,28.3889,23223.796,28.3857,3427.8332,5.7334
W68,Swamp,3/14/23,0.51,47.2222,69113.3675,49.6329,69122.2614,49.6325,12616.1093,16.7405
W11,Swamp,4/4/23,0.69,59.4828,50327.5707,66.1079,50344.7454,66.1056,18767.891,38.7168
W15,Marsh,4/4/23,0,0,0,0,0,0,0,0
W21,Marsh,4/4/23,0.34,13.8211,939.6314,1.1092,939.9308,1.1093,114.8188,0.1385
W32,Swamp,4/4/23,0.49,80.3279,24907.5309,63.804,24909.9719,63.8051,2969.7206,43.7726
W37,Marsh,4/4/23,0,0,0,0,0,0,0,0
W42,Marsh,4/4/23,0.4,25.641,4440.6697,17.1783,4441.6397,17.17,529.5501,2.9063
W46,Marsh,4/4/23,0.77,45.8333,43618.9647,38.4973,43622.2323,38.494,3740.6879,4.5352
W52,Swamp,4/4/23,0.76,87.3563,61458.2228,88.4358,61463.8661,88.4355,24564.001,77.3325
W53,Marsh,4/4/23,0.37,38.9474,3400.9188,7.1653,3401.1906,7.1648,424.924,2.3322
W58,Swamp,4/4/23,0.69,48.2517,45757.4404,55.9402,45762.1327,55.9336,9731.3386,16.2766
W68,Swamp,4/4/23,0.61,56.4815,88826.4493,63.7896,88836.6702,63.7882,20480.4733,27.1759
W11,Swamp,4/17/23,0.55,47.4138,42236.3563,55.4796,42250,55.4767,12270.13,25.3124
W15,Marsh,4/17/23,0,0,0,0,0,0,0,0
W21,Marsh,4/17/23,0,0,0,0,0,0,0,0
W32,Swamp,4/17/23,0.36,59.0164,6832.5078,17.5024,6834.2185,17.5054,776.0732,11.439
W37,Marsh,4/17/23,0,0,0,0,0,0,0,0
W42,Marsh,4/17/23,0.29,18.5897,2206.2472,8.5347,2206.5607,8.5299,137.4633,0.7544
W46,Marsh,4/17/23,0.53,31.5476,1496.7274,1.321,1498.7667,1.3226,218.9675,0.2655
W52,Swamp,4/17/23,0.71,81.6092,57817.5985,83.1971,57822.8226,83.1967,21581.4431,67.9428
W53,Marsh,4/17/23,0.24,25.2632,1526.3296,3.2158,1526.4388,3.2155,114.9019,0.6306
W58,Swamp,4/17/23,0.6,41.958,35491.8111,43.3901,35495.4183,43.3849,6102.6719,10.2073
W68,Swamp,4/17/23,0.55,50.9259,76244.4189,54.754,76253.8217,54.7533,15523.0531,20.5978
W11,Swamp,5/2/23,0.57,49.1379,43538.9149,57.1906,43553.0674,57.1878,13128.1831,27.0825
W15,Marsh,5/2/23,0,0,0,0,0,0,0,0
W21,Marsh,5/2/23,0,0,0,0,0,0,0,0
W32,Swamp,5/2/23,0.29,47.541,3503.1208,8.9737,3504.5319,8.9766,462.7987,6.8215
W37,Marsh,5/2/23,0,0,0,0,0,0,0,0
W42,Marsh,5/2/23,0.32,20.5128,3315.7787,12.8268,3316.2038,12.8194,220.9646,1.2127
W46,Marsh,5/2/23,0.42,25,682.1972,0.6021,683.752,0.6034,106.1212,0.1287
W52,Swamp,5/2/23,0.68,78.1609,55551.498,79.9363,55556.4803,79.9358,19880.7538,62.5887
W53,Marsh,5/2/23,0.33,34.7368,2718.7993,5.7282,2719.0152,5.7277,302.867,1.6623
W58,Swamp,5/2/23,0.58,40.5594,33263.7845,40.6663,33267.1513,40.6614,5414.5694,9.0564
W68,Swamp,5/2/23,0.55,50.9259,76244.4189,54.754,76253.8217,54.7533,15523.0531,20.5978
W11,Swamp,5/16/23,0.3,25.8621,19637.4841,25.7948,19645.006,25.7951,4412.452,9.1026
W15,Marsh,5/16/23,0,0,0,0,0,0,0,0
W21,Marsh,5/16/23,0,0,0,0,0,0,0,0
W32,Swamp,5/16/23,0,0,0,0,0,0,0,0
W37,Marsh,5/16/23,0,0,0,0,0,0,0,0
W42,Marsh,5/16/23,0.25,16.0256,1010.3564,3.9085,1010.5804,3.9066,75.011,0.4117
W46,Marsh,5/16/23,0.14,8.3333,72.7588,0.0642,72.793,0.0642,3.2796,0.004
W52,Swamp,5/16/23,0.63,72.4138,51372.6249,73.923,51377.2204,73.9226,17204.4783,54.1632
W53,Marsh,5/16/23,0.1,10.5263,210.8171,0.4442,210.8393,0.4441,6.6061,0.0363
W58,Swamp,5/16/23,0.38,26.5734,7405.93,9.054,7407.3797,9.0538,1537.9825,2.5724
W68,Swamp,5/16/23,0.4,37.037,47695.0493,34.2516,47702.6531,34.2524,6172.9761,8.191
W11,Swamp,5/30/23,0,0,0,0,0,0,0,0
W15,Marsh,5/30/23,0,0,0,0,0,0,0,0
W21,Marsh,5/30/23,0,0,0,0,0,0,0,0
W32,Swamp,5/30/23,0,0,0,0,0,0,0,0
W37,Marsh,5/30/23,0,0,0,0,0,0,0,0
W42,Marsh,5/30/23,0.33,21.1538,3442.6714,13.3176,3443.1608,13.3102,254.7536,1.3982
W46,Marsh,5/30/23,0.3,17.8571,392.8748,0.3467,393.6418,0.3474,43.4696,0.0527
W52,Swamp,5/30/23,0.69,79.3103,56313.6435,81.033,56318.7057,81.0325,20440.0851,64.3495
W53,Marsh,5/30/23,0.25,26.3158,1640.2563,3.4558,1640.376,3.4555,130.7314,0.7175
W58,Swamp,5/30/23,0.34,23.7762,6181.4108,7.557,6182.6477,7.5569,1268.4984,2.1217
W68,Swamp,5/30/23,0.52,48.1481,70895.8263,50.913,70904.8467,50.9125,13316.1779,17.6694
W11,Swamp,6/13/23,0,0,0,0,0,0,0,0
W15,Marsh,6/13/23,0,0,0,0,0,0,0,0
W21,Marsh,6/13/23,0,0,0,0,0,0,0,0
W32,Swamp,6/13/23,0,0,0,0,0,0,0,0
W37,Marsh,6/13/23,0,0,0,0,0,0,0,0
W42,Marsh,6/13/23,0.25,16.0256,1010.3564,3.9085,1010.5804,3.9066,75.011,0.4117
W46,Marsh,6/13/23,0,0,0,0,0,0,0,0
W52,Swamp,6/13/23,0.61,70.1149,48267.4143,69.4548,48271.8559,69.4545,16206.9216,51.0227
W53,Marsh,6/13/23,0.07,7.3684,94.7892,0.1997,94.8009,0.1997,2.1646,0.0119
W58,Swamp,6/13/23,0.17,11.8881,3548.1857,4.3378,3548.6778,4.3374,450.0438,0.7527
W68,Swamp,6/13/23,0.35,32.4074,36384.9378,26.1294,36392.0971,26.131,4067.9881,5.3979
W11,Swamp,6/28/23,0,0,0,0,0,0,0,0
W15,Marsh,6/28/23,0,0,0,0,0,0,0,0
W21,Marsh,6/28/23,0.36,14.6341,1021.2872,1.2056,1021.6224,1.2057,134.4232,0.1622
W32,Swamp,6/28/23,0.3,49.1803,3701.9816,9.4831,3703.4337,9.4861,498.8113,7.3523
W37,Marsh,6/28/23,0.09,8.5714,2647.6371,23.527,2647.9421,23.5163,282.8614,4.2544
W42,Marsh,6/28/23,0.36,23.0769,3846.8663,14.8812,3847.5552,14.8735,364.0085,1.9978
W46,Marsh,6/28/23,0.4,23.8095,618.8333,0.5462,620.2518,0.5473,93.1251,0.1129
W52,Swamp,6/28/23,0.73,83.908,59293.8748,85.3214,59299.264,85.321,22752.6053,71.6298
W53,Marsh,6/28/23,0.33,34.7368,2718.7993,5.7282,2719.0152,5.7277,302.867,1.6623
W58,Swamp,6/28/23,0.4,27.972,8378.5605,10.2431,8380.1236,10.2428,1694.9571,2.835
W68,Swamp,6/28/23,0.66,61.1111,96033.8982,68.9656,96044.8729,68.964,25108.4684,33.3168
W11,Swamp,7/11/23,0,0,0,0,0,0,0,0
W15,Marsh,7/11/23,0,0,0,0,0,0,0,0
W21,Marsh,7/11/23,0.26,10.5691,640.6641,0.7563,640.8352,0.7563,51.9009,0.0626
W32,Swamp,7/11/23,0,0,0,0,0,0,0,0
W37,Marsh,7/11/23,0,0,0,0,0,0,0,0
W42,Marsh,7/11/23,0.25,16.0256,1010.3564,3.9085,1010.5804,3.9066,75.011,0.4117
W46,Marsh,7/11/23,0,0,0,0,0,0,0,0
W52,Swamp,7/11/23,0.75,86.2069,60741.2944,87.4042,60746.8519,87.4038,23953.0045,75.4089
W53,Marsh,7/11/23,0.22,23.1579,1311.051,2.7622,1311.1406,2.762,86.5561,0.4751
W58,Swamp,7/11/23,0.19,13.2867,3913.4287,4.7843,3913.988,4.7839,524.893,0.8779
W68,Swamp,7/11/23,0.57,52.7778,79927.5973,57.399,79937.2569,57.3981,17084.3782,22.6695
W11,Swamp,7/25/23,0,0,0,0,0,0,0,0
W15,Marsh,7/25/23,0,0,0,0,0,0,0,0
W21,Marsh,7/25/23,0,0,0,0,0,0,0,0
W32,Swamp,7/25/23,0.41,67.2131,15212.4519,38.9687,15214.4258,38.9707,1366.4648,20.1412
W37,Marsh,7/25/23,0.04,3.8095,1974.7282,17.5475,1974.878,17.5388,161.682,2.4318
W42,Marsh,7/25/23,0.38,24.359,4135.927,15.9994,4136.7543,15.9914,443.8103,2.4358
W46,Marsh,7/25/23,0,0,0,0,0,0,0,0
W52,Swamp,7/25/23,0.75,86.2069,60741.2944,87.4042,60746.8519,87.4038,23953.0045,75.4089
W53,Marsh,7/25/23,0.4,42.1053,4056.6354,8.5469,4056.9516,8.5462,535.9724,2.9417
W58,Swamp,7/25/23,0.23,16.0839,4427.0297,5.4122,4427.7549,5.4119,691.5632,1.1567
W68,Swamp,7/25/23,0.66,61.1111,96033.8982,68.9656,96044.8729,68.964,25108.4684,33.3168
W11,Swamp,8/8/23,0,0,0,0,0,0,0,0
W15,Marsh,8/8/23,0,0,0,0,0,0,0,0
W21,Marsh,8/8/23,0,0,0,0,0,0,0,0
W32,Swamp,8/8/23,0,0,0,0,0,0,0,0
W37,Marsh,8/8/23,0,0,0,0,0,0,0,0
W42,Marsh,8/8/23,0.22,14.1026,591.7162,2.289,591.8871,2.2881,52.3823,0.2875
W46,Marsh,8/8/23,0,0,0,0,0,0,0,0
W52,Swamp,8/8/23,0.71,81.6092,57817.5985,83.1971,57822.8226,83.1967,21581.4431,67.9428
W53,Marsh,8/8/23,0.14,14.7368,454.2849,0.9571,454.3242,0.9571,19.57,0.1074
W58,Swamp,8/8/23,0,0,0,0,0,0,0,0
W68,Swamp,8/8/23,0.56,51.8519,78055.616,56.0547,78065.1474,56.0539,16294.5265,21.6215
W11,Swamp,8/22/23,0,0,0,0,0,0,0,0
W15,Marsh,8/22/23,0,0,0,0,0,0,0,0
W21,Marsh,8/22/23,0,0,0,0,0,0,0,0
W32,Swamp,8/22/23,0,0,0,0,0,0,0,0
W37,Marsh,8/22/23,0,0,0,0,0,0,0,0
W42,Marsh,8/22/23,0,0,0,0,0,0,0,0
W46,Marsh,8/22/23,0,0,0,0,0,0,0,0
W52,Swamp,8/22/23,0.58,66.6667,45227.5307,65.0805,45231.7382,65.0803,14805.3675,46.6103
W53,Marsh,8/22/23,0,0,0,0,0,0,0,0
W58,Swamp,8/22/23,0,0,0,0,0,0,0,0
W68,Swamp,8/22/23,0.33,30.5556,28300.5078,20.3237,28307.5012,20.3259,3390.971,4.4995
W11,Swamp,9/7/23,0,0,0,0,0,0,0,0
W15,Marsh,9/7/23,0,0,0,0,0,0,0,0
W21,Marsh,9/7/23,0,0,0,0,0,0,0,0
W32,Swamp,9/7/23,0,0,0,0,0,0,0,0
W37,Marsh,9/7/23,0,0,0,0,0,0,0,0
W42,Marsh,9/7/23,0,0,0,0,0,0,0,0
W46,Marsh,9/7/23,0,0,0,0,0,0,0,0
W52,Swamp,9/7/23,0.35,40.2299,27374.4772,39.3907,27376.9515,39.3905,6328.5477,19.9236
W53,Marsh,9/7/23,0,0,0,0,0,0,0,0
W58,Swamp,9/7/23,0,0,0,0,0,0,0,0
W68,Swamp,9/7/23,0,0,0,0,0,0,0,0
W11,Swamp,9/19/23,0,0,0,0,0,0,0,0
W15,Marsh,9/19/23,0,0,0,0,0,0,0,0
W21,Marsh,9/19/23,0,0,0,0,0,0,0,0
W32,Swamp,9/19/23,0,0,0,0,0,0,0,0
W37,Marsh,9/19/23,0,0,0,0,0,0,0,0
W42,Marsh,9/19/23,0,0,0,0,0,0,0,0
W46,Marsh,9/19/23,0,0,0,0,0,0,0,0
W52,Swamp,9/19/23,0.38,43.6782,31338.5254,45.0948,31341.2263,45.0944,7200.5791,22.6689
W53,Marsh,9/19/23,0,0,0,0,0,0,0,0
W58,Swamp,9/19/23,0,0,0,0,0,0,0,0
W68,Swamp,9/19/23,0,0,0,0,0,0,0,0
W11,Swamp,10/3/23,0,0,0,0,0,0,0,0
W15,Marsh,10/3/23,0,0,0,0,0,0,0,0
W21,Marsh,10/3/23,0,0,0,0,0,0,0,0
W32,Swamp,10/3/23,0,0,0,0,0,0,0,0
W37,Marsh,10/3/23,0,0,0,0,0,0,0,0
W42,Marsh,10/3/23,0,0,0,0,0,0,0,0
W46,Marsh,10/3/23,0,0,0,0,0,0,0,0
W52,Swamp,10/3/23,0.28,32.1839,22873.5331,32.914,22875.4623,32.9137,4576.6415,14.4082
W53,Marsh,10/3/23,0,0,0,0,0,0,0,0
W58,Swamp,10/3/23,0,0,0,0,0,0,0,0
W68,Swamp,10/3/23,0,0,0,0,0,0,0,0
W11,Swamp,10/17/23,0,0,0,0,0,0,0,0
W15,Marsh,10/17/23,0,0,0,0,0,0,0,0
W21,Marsh,10/17/23,0,0,0,0,0,0,0,0
W32,Swamp,10/17/23,0,0,0,0,0,0,0,0
W37,Marsh,10/17/23,0,0,0,0,0,0,0,0
W42,Marsh,10/17/23,0,0,0,0,0,0,0,0
W46,Marsh,10/17/23,0,0,0,0,0,0,0,0
W52,Swamp,10/17/23,0.13,14.9425,14236.3967,20.4856,14237.2602,20.4849,1801.6889,5.6721
W53,Marsh,10/17/23,0,0,0,0,0,0,0,0
W58,Swamp,10/17/23,0,0,0,0,0,0,0,0
W68,Swamp,10/17/23,0,0,0,0,0,0,0,0
W11,Swamp,11/1/23,0,0,0,0,0,0,0,0
W15,Marsh,11/1/23,0,0,0,0,0,0,0,0
W21,Marsh,11/1/23,0,0,0,0,0,0,0,0
W32,Swamp,11/1/23,0,0,0,0,0,0,0,0
W37,Marsh,11/1/23,0,0,0,0,0,0,0,0
W42,Marsh,11/1/23,0,0,0,0,0,0,0,0
W46,Marsh,11/1/23,0,0,0,0,0,0,0,0
W52,Swamp,11/1/23,0,0,0,0,0,0,0,0
W53,Marsh,11/1/23,0,0,0,0,0,0,0,0
W58,Swamp,11/1/23,0,0,0,0,0,0,0,0
W68,Swamp,11/1/23,0,0,0,0,0,0,0,0
W11,Swamp,11/13/23,0,0,0,0,0,0,0,0
W15,Marsh,11/13/23,0,0,0,0,0,0,0,0
W21,Marsh,11/13/23,0,0,0,0,0,0,0,0
W32,Swamp,11/13/23,0,0,0,0,0,0,0,0
W37,Marsh,11/13/23,0,0,0,0,0,0,0,0
W42,Marsh,11/13/23,0,0,0,0,0,0,0,0
W46,Marsh,11/13/23,0,0,0,0,0,0,0,0
W52,Swamp,11/13/23,0,0,0,0,0,0,0,0
W53,Marsh,11/13/23,0,0,0,0,0,0,0,0
W58,Swamp,11/13/23,0,0,0,0,0,0,0,0
W68,Swamp,11/13/23,0,0,0,0,0,0,0,0
W11,Swamp,11/28/23,0,0,0,0,0,0,0,0
W15,Marsh,11/28/23,0,0,0,0,0,0,0,0
W21,Marsh,11/28/23,0,0,0,0,0,0,0,0
W32,Swamp,11/28/23,0,0,0,0,0,0,0,0
W37,Marsh,11/28/23,0,0,0,0,0,0,0,0
W42,Marsh,11/28/23,0,0,0,0,0,0,0,0
W46,Marsh,11/28/23,0,0,0,0,0,0,0,0
W52,Swamp,11/28/23,0,0,0,0,0,0,0,0
W53,Marsh,11/28/23,0,0,0,0,0,0,0,0
W58,Swamp,11/28/23,0,0,0,0,0,0,0,0
W68,Swamp,11/28/23,0,0,0,0,0,0,0,0
W11,Swamp,12/12/23,0,0,0,0,0,0,0,0
W15,Marsh,12/12/23,0,0,0,0,0,0,0,0
W21,Marsh,12/12/23,0.28,11.3821,711.2724,0.8396,711.4734,0.8397,65.4157,0.0789
W32,Swamp,12/12/23,0,0,0,0,0,0,0,0
W37,Marsh,12/12/23,0,0,0,0,0,0,0,0
W42,Marsh,12/12/23,0.39,25,4286.3366,16.5813,4287.2347,16.5731,485.9183,2.6669
W46,Marsh,12/12/23,0,0,0,0,0,0,0,0
W52,Swamp,12/12/23,0.43,49.4253,34834.9132,50.126,34837.9742,50.1256,8857.9277,27.8866
W53,Marsh,12/12/23,0.33,34.7368,2718.7993,5.7282,2719.0152,5.7277,302.867,1.6623
W58,Swamp,12/12/23,0,0,0,0,0,0,0,0
W68,Swamp,12/12/23,0.29,26.8519,18499.7408,13.2854,18506.4302,13.2884,2463.8112,3.2693